trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-101.29704852046875,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-106.28922754132616,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-118.3669381141023,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-60.33235220148055,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-94.8806330084048,"{0: 21, 1: 1, 2: 7, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-88.35664337501832,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,15,-2.8039417461795093,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-168.00734136742275,"{0: 10, 1: 2, 2: 3, 3: 3, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,4,-54.34587635789911,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 1}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,0,-51.81115732608619,"{0: 24, 1: 2, 2: 3, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-17.735335271239013,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,0,7.459029061274849,"{0: 26, 1: 3, 2: 1, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,0,-46.95900921376661,"{0: 24, 1: 3, 2: 2, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-57.814922687492135,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,5,-69.12360377184615,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 2}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-87.5050171151968,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-40.73333809209563,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,12,-52.122006876619324,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-25.50065690252227,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,1.2729928006987583,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",20,14,-37.89574473028665,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 1}",1
2,True,"{'a': 0, 'e': 0}",25,19,-2.80356889132554,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",35,25,9.561807010303196,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,7,-58.55030400072337,"{0: 15, 1: 0, 2: 0, 3: 2, 4: 1}",1
5,True,"{'a': 0, 'e': 0}",20,11,4.315434803348666,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",30,13,-17.499746781190392,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
7,True,"{'a': 0, 'e': 0}",30,4,-16.518026950495997,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 1}",1
8,True,"{'a': 0, 'e': 0}",30,23,-28.306196350410545,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
9,True,"{'a': 0, 'e': 0}",20,11,13.275035041994714,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",35,11,-19.487458512628677,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 1}",1
