trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.98}",20,0,-162.73741973072023,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 4}",0
2,False,"{'a': 0.5, 'e': 0.9603999999999999}",35,0,-224.72703869530386,"{0: 18, 1: 4, 2: 8, 3: 3, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.9411919999999999}",20,0,-36.972153739374896,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.9223681599999999}",25,0,-192.96200948174277,"{0: 12, 1: 3, 2: 7, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.9039207967999998}",20,0,-176.40851587417052,"{0: 13, 1: 1, 2: 1, 3: 1, 4: 4}",0
6,False,"{'a': 0.5, 'e': 0.8858423808639998}",20,0,-103.48642099353161,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.8681255332467198}",25,0,-155.1610466323459,"{0: 13, 1: 3, 2: 7, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.8507630225817854}",25,11,-64.0950311425749,"{0: 8, 1: 3, 2: 2, 3: 0, 4: 1}",1
9,False,"{'a': 0.5, 'e': 0.8337477621301497}",30,0,-45.39640484944855,"{0: 25, 1: 1, 2: 3, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.8170728068875467}",30,0,-128.18352566231778,"{0: 20, 1: 1, 2: 7, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.8007313507497957}",20,0,-188.74333517822004,"{0: 10, 1: 2, 2: 3, 3: 2, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.7847167237347998}",20,0,-162.1233393667756,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.7690223892601038}",20,0,-142.22771723711045,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.7536419414749017}",35,0,-106.31603128420257,"{0: 23, 1: 5, 2: 5, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.7385691026454037}",25,0,-75.02921771642525,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.7237977205924956}",20,0,-70.33449265796439,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.7093217661806457}",20,0,-93.92199121686505,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.6951353308570327}",20,0,-164.91529867556733,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 3}",0
