/-----------------------------------------
| State-action rewards from Q-Learning
\-----------------------------------------

('right', 'green', None, None, None)
 -- forward : 0.21
 -- None : -5.32
 -- right : 2.08
 -- left : 1.09

('right', 'red', 'left', None, 'left')
 -- forward : -5.12
 -- None : 0.43
 -- right : 1.42
 -- left : 0.00

('forward', 'green', 'right', 'right', 'left')
 -- forward : 0.00
 -- None : -2.77
 -- right : -0.22
 -- left : 0.00

('left', 'green', 'forward', 'left', None)
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.52
 -- left : 1.72

('left', 'red', None, 'left', 'left')
 -- forward : -7.86
 -- None : 0.00
 -- right : 0.69
 -- left : 0.00

('right', 'green', None, 'right', None)
 -- forward : -0.24
 -- None : -2.22
 -- right : 1.46
 -- left : -0.32

('left', 'green', None, 'left', 'forward')
 -- forward : 0.52
 -- None : 0.00
 -- right : 0.44
 -- left : 0.00

('left', 'red', 'right', None, 'left')
 -- forward : -5.06
 -- None : 1.15
 -- right : 0.00
 -- left : -7.33

('forward', 'red', 'left', 'left', 'forward')
 -- forward : -5.37
 -- None : 0.00
 -- right : 0.00
 -- left : -5.14

('right', 'green', None, 'right', 'left')
 -- forward : 1.11
 -- None : -2.15
 -- right : 0.00
 -- left : 0.00

('left', 'red', None, 'left', 'forward')
 -- forward : -7.44
 -- None : 2.40
 -- right : 0.00
 -- left : -4.53

('forward', 'green', 'left', None, None)
 -- forward : 1.67
 -- None : -4.91
 -- right : 0.12
 -- left : 0.52

('left', 'green', 'right', 'forward', None)
 -- forward : -0.05
 -- None : 0.00
 -- right : 0.00
 -- left : 1.42

('left', 'green', 'left', None, None)
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.60
 -- left : 0.00

('forward', 'green', 'forward', 'forward', 'right')
 -- forward : 0.55
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('forward', 'green', 'forward', None, 'left')
 -- forward : 2.14
 -- None : 0.00
 -- right : 0.00
 -- left : -0.05

('forward', 'green', None, 'forward', 'right')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.42
 -- left : 0.00

('forward', 'red', None, 'left', 'right')
 -- forward : 0.00
 -- None : 0.00
 -- right : 1.14
 -- left : 0.00

('right', 'red', 'left', None, 'right')
 -- forward : 0.00
 -- None : -0.08
 -- right : 0.00
 -- left : -19.91

('left', 'green', 'forward', None, None)
 -- forward : 0.43
 -- None : -4.70
 -- right : 0.26
 -- left : 1.94

('left', 'red', None, 'forward', 'left')
 -- forward : -20.05
 -- None : 1.13
 -- right : 0.80
 -- left : 0.00

('left', 'green', None, 'right', 'forward')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.66
 -- left : 1.01

('right', 'red', 'right', None, None)
 -- forward : -7.71
 -- None : 0.00
 -- right : 2.14
 -- left : -4.82

('right', 'green', None, 'forward', 'left')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.00
 -- left : 1.13

('right', 'green', None, None, 'right')
 -- forward : -0.05
 -- None : -2.22
 -- right : 2.53
 -- left : 0.00

('forward', 'red', 'right', 'forward', 'right')
 -- forward : 0.00
 -- None : 1.36
 -- right : 0.00
 -- left : 0.00

('right', 'red', None, 'forward', None)
 -- forward : -19.62
 -- None : 0.39
 -- right : 1.64
 -- left : -20.20

('left', 'green', 'left', None, 'left')
 -- forward : 0.00
 -- None : -2.10
 -- right : 0.95
 -- left : 0.00

('forward', 'green', 'right', 'forward', 'left')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.00
 -- left : 0.90

('right', 'red', 'right', 'left', 'forward')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.41
 -- left : 0.00

('right', 'red', None, 'forward', 'forward')
 -- forward : 0.00
 -- None : 0.93
 -- right : 0.00
 -- left : 0.00

('left', 'red', 'left', 'forward', 'forward')
 -- forward : 0.00
 -- None : 1.56
 -- right : 0.00
 -- left : 0.00

('left', 'red', 'left', 'forward', None)
 -- forward : 0.00
 -- None : 1.82
 -- right : 0.81
 -- left : 0.00

('right', 'red', 'forward', 'forward', None)
 -- forward : -20.43
 -- None : 1.20
 -- right : -9.99
 -- left : -20.17

('left', 'red', 'left', 'forward', 'left')
 -- forward : -19.57
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('left', 'green', 'left', None, 'forward')
 -- forward : 0.00
 -- None : 0.00
