trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-115.74259519033662,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,8,-75.61218055249229,"{0: 6, 1: 3, 2: 1, 3: 1, 4: 1}",1
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-208.88000799995726,"{0: 14, 1: 1, 2: 6, 3: 0, 4: 4}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-86.24332627903235,"{0: 20, 1: 4, 2: 5, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",35,0,-111.83807172034173,"{0: 23, 1: 3, 2: 8, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-128.06377451340649,"{0: 14, 1: 1, 2: 8, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-29.87881622400151,"{0: 13, 1: 5, 2: 2, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-174.37342847949037,"{0: 15, 1: 0, 2: 7, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,0,-135.1855959566407,"{0: 17, 1: 3, 2: 8, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",35,0,-150.65331319692257,"{0: 19, 1: 6, 2: 8, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,0,-77.59561261637566,"{0: 22, 1: 5, 2: 1, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,6,-140.52986230264216,"{0: 16, 1: 2, 2: 3, 3: 0, 4: 3}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-153.63550194757,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-185.30870874123002,"{0: 11, 1: 4, 2: 6, 3: 2, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-86.36002108922645,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",35,0,-166.35424363257704,"{0: 21, 1: 2, 2: 10, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",35,15,-82.9235564137363,"{0: 10, 1: 6, 2: 3, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-161.9081146300036,"{0: 12, 1: 2, 2: 9, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-121.55740820073541,"{0: 9, 1: 5, 2: 3, 3: 2, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-92.33547945850293,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",35,0,-213.398263462993,"{0: 18, 1: 2, 2: 12, 3: 1, 4: 2}",0
2,True,"{'a': 0, 'e': 0}",20,0,-76.79050729931133,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
3,True,"{'a': 0, 'e': 0}",20,0,-49.136123105293144,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",25,5,-149.17243402603802,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",1
5,True,"{'a': 0, 'e': 0}",35,0,-103.89482560541717,"{0: 21, 1: 8, 2: 5, 3: 0, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",25,0,-148.0295238245787,"{0: 13, 1: 6, 2: 3, 3: 1, 4: 2}",0
7,True,"{'a': 0, 'e': 0}",25,0,-183.27799619290377,"{0: 13, 1: 3, 2: 6, 3: 0, 4: 3}",0
8,True,"{'a': 0, 'e': 0}",25,0,-125.18786425321322,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
9,True,"{'a': 0, 'e': 0}",20,0,-129.65765551009153,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
10,True,"{'a': 0, 'e': 0}",25,0,-35.92130071794494,"{0: 19, 1: 3, 2: 2, 3: 1, 4: 0}",0
